,Major,Degree_Type,Early_Career_Pay,Mid-Career_Pay
134,Construction Science,Bachelors,67400,108500
135,Political Communication,Bachelors,48800,108500
136,Marketing & International Business,Bachelors,52500,108400
137,Software Development,Bachelors,65500,108400
138,Biochemistry & Molecular Biology,Bachelors,53900,108100
139,Computing,Bachelors,63500,108000
140,Construction Management,Bachelors,63200,108000
141,Accounting & Taxation,Bachelors,55600,107800
142,Building Construction (BC),Bachelors,67200,107800
143,International & Comparative Politics,Bachelors,45700,107800
144,Civil & Environmental Engineering,Bachelors,65300,107500
145,Business Information Systems,Bachelors,65000,107400
146,Financial Economics,Bachelors,63300,107200
147,Sales & Business Marketing,Bachelors,55900,107200
148,Plastics Engineering,Bachelors,68400,107100
149,Information Technology Management,Bachelors,63400,107000
150,Polymer Science & Engineering,Bachelors,74500,106900
151,Informatics,Bachelors,70300,106800
152,Computer Management Information Systems (CMIS),Bachelors,55700,106600
153,Information Systems (IS),Bachelors,63900,106600
154,Agricultural Economics,Bachelors,55600,106300
155,Data Processing,Bachelors,65600,106200
156,European Studies,Bachelors,47500,106100
157,Biosystems Engineering,Bachelors,64700,106000
158,Nuclear Engineering Technology (NET),Bachelors,83500,106000
159,Economics & Political Science,Bachelors,57100,105700
160,Global & International Studies,Bachelors,50000,105700
161,Organic Chemistry,Bachelors,44500,105600
162,Industrial Hygiene,Bachelors,58600,105500
163,Safety Science,Bachelors,62400,105500
164,Commerce,Bachelors,66800,105400
165,Rhetoric,Bachelors,51600,105400
166,Business Computer Information Systems (BCIS),Bachelors,64000,105300
167,Finance,Bachelors,60200,105200
168,Plastics Engineering Technology,Bachelors,66900,105100
169,Molecular Biology,Bachelors,54100,105000
170,Environmental Engineering,Bachelors,62600,104800
171,International Management,Bachelors,54100,104800
172,Computer Information Systems,Bachelors,59400,104700
173,Corporate Finance,Bachelors,63600,104300
174,Genetics,Bachelors,52200,104100
175,International Business,Bachelors,55300,104100
176,Agricultural Engineering (AE),Bachelors,63100,104000
177,Consumer Economics,Bachelors,53700,103800
178,Finance & Marketing,Bachelors,56800,103700
179,Computer Information Systems (CIS),Bachelors,60500,103500
180,Business Finance,Bachelors,57200,103300
181,Psychobiology,Bachelors,49600,103100
182,Strategic Management,Bachelors,66200,103100
183,Construction Trades,Bachelors,61900,103100
184,Operations Management (OM),Bachelors,61500,103000
185,Entrepreneurship & Leadership,Bachelors,57100,102900
186,Electrical Engineering Technology (EET),Bachelors,66300,102800
187,Computer Science & Information Technology,Bachelors,66000,102700
188,Food Marketing,Bachelors,56300,102700
189,International Marketing,Bachelors,59000,102600
190,Network Engineering,Bachelors,60700,102600
191,Building Construction Management,Bachelors,61300,102400
192,Engineering Technology (ET),Bachelors,58400,102300
193,International Relations,Bachelors,52800,102200
194,Management & Finance,Bachelors,56800,102200
195,Information Security,Bachelors,66400,102200
196,Business Operations,Bachelors,63500,102100
197,Industrial Management,Bachelors,57800,102000
198,Architectural Engineering,Bachelors,65000,101900
199,Hotel Administration,Bachelors,64900,101900
200,Manufacturing,Bachelors,57600,101500
201,Agricultural Economics & Business,Bachelors,54900,101400
202,Web Development,Bachelors,56400,101300
203,Aviation,Bachelors,54000,101200
204,Telecommunications Management,Bachelors,55000,101200
205,Property Management,Bachelors,55200,101000
206,Comparative Literature,Bachelors,48100,100900
207,Construction Science & Management,Bachelors,64700,100800
