,Major,Degree_Type,Early_Career_Pay,Mid-Career_Pay
612,Medical Laboratory Science,Bachelors,55600,72300
613,Secondary Education,Bachelors,44600,72300
614,Child Psychology,Bachelors,38900,72200
615,Exercise Physiology,Bachelors,44100,72200
616,Radiography,Bachelors,55300,72200
617,Archaeology,Bachelors,45900,72100
618,Art Administration,Bachelors,40200,72100
619,Hotel & Restaurant Tourism,Bachelors,44300,72100
620,Illustration,Bachelors,45200,72100
621,Arts & Science,Bachelors,45700,71900
622,Health,Bachelors,44200,71900
623,Turfgrass Management,Bachelors,53100,71900
624,Animal Science & Management,Bachelors,44200,71800
625,SocialStudies,Bachelors,45800,71700
626,Human Resources Development,Bachelors,48600,71600
627,Speech Pathology & Audiology,Bachelors,44100,71600
628,Clinical Laboratory Science,Bachelors,55100,71500
629,Forensic Science,Bachelors,46000,71500
630,Health Administration,Bachelors,42700,71500
631,Geomatics,Bachelors,52300,71400
632,Media Communication,Bachelors,47000,71400
633,Health Management,Bachelors,45100,71300
634,Commercial Photography,Bachelors,43800,71300
635,Fashion Design & Marketing,Bachelors,45300,71100
636,Mass Media,Bachelors,40300,71100
637,Medical Technology,Bachelors,56500,71000
638,Respiratory Therapy,Bachelors,54500,70900
639,Theater,Bachelors,44600,70700
640,Forensic Psychology,Bachelors,43000,70600
641,Kinesiology,Bachelors,44800,70600
642,Performing Arts,Bachelors,45700,70500
643,Psychology & Social Behavior,Bachelors,45800,70500
644,Religion,Bachelors,44400,70500
645,Radio & Television,Bachelors,43100,70500
646,Technology Teacher Education,Bachelors,47700,70400
647,Educational Studies (ED),Bachelors,40300,70200
648,Music,Bachelors,44300,70200
649,Business Leadership,Bachelors,50100,70200
650,Drafting & Design,Bachelors,51000,70100
651,Plant Sciences,Bachelors,48000,70100
652,Criminal Justice,Bachelors,42800,69800
653,Web Design,Bachelors,49900,69800
654,Graphic Design,Bachelors,45100,69700
655,Nutrition,Bachelors,48100,69600
656,Nutrition & Dietetics,Bachelors,50800,69600
657,Missions,Bachelors,41300,69500
658,Dramatic Art,Bachelors,41400,69400
659,Fashion Marketing & Management,Bachelors,47700,69100
660,Interdisciplinary Studies (IS),Bachelors,44600,68900
661,Hospitality & Tourism,Bachelors,44200,68800
662,Human Ecology,Bachelors,42100,68800
663,Ornamental Horticulture,Bachelors,46000,68800
664,Physical Therapist Assistant Studies,Bachelors,49900,68800
665,Public Health (PH),Bachelors,46000,68800
666,Art Therapy,Bachelors,41100,68600
667,Dietetics,Bachelors,51300,68600
668,Landscape Management,Bachelors,52300,68600
669,Applied Sociology,Bachelors,42200,68500
670,Fine Arts,Bachelors,43200,68500
671,Modern Language Spanish,Bachelors,43800,68500
672,Women's Studies,Bachelors,45200,68500
673,Social & Criminal Justice,Bachelors,44800,68500
674,Animal Science,Bachelors,41200,68300
675,New Media,Bachelors,46000,68300
676,Textiles & Clothing,Bachelors,45100,68300
677,Event Management,Bachelors,41700,68200
678,Family & Consumer Science,Bachelors,42600,68000
679,Speech-Language Pathology,Bachelors,44100,67900
680,Technical Theatre,Bachelors,41000,67600
681,Education,Bachelors,44100,67500
682,Foods & Nutrition,Bachelors,47000,67500
683,Recreation Management,Bachelors,42300,67500
684,Business & Healthcare Management,Bachelors,46900,67300
685,Agricultural Teacher Education,Bachelors,53500,67100
686,Music Composition,Bachelors,44000,66900
687,Art,Bachelors,43400,66700
688,Psychology & Sociology,Bachelors,42800,66700
689,Drawing & Painting,Bachelors,42800,66600
690,Nonprofit Management,Bachelors,42300,66300
691,Small Business Management,Bachelors,47100,66200
692,Behavioral Science,Bachelors,43000,66000
693,Horticulture & Agronomy,Bachelors,52500,65900
694,Health Services Administration,Bachelors,42700,65800
695,Multidisciplinary Studies,Bachelors,41800,65800
696,Restaurant & Food Service Management,Bachelors,43900,65800
697,Consumer Affairs,Bachelors,51000,65700
698,Training and Development,Bachelors,52600,65600
699,Health & Exercise Science,Bachelors,41700,65600
700,Electronic Media,Bachelors,45300,65600
701,Environmental Resource Management,Bachelors,48700,65500
702,Theatre Arts,Bachelors,43500,65300
703,Applied Linguistics,Bachelors,46800,65200
704,African American & African Studies,Bachelors,46400,65100
705,Exercise & Sports Science,Bachelors,42600,65100
706,General Studies,Bachelors,43600,65100
707,Justice Studies,Bachelors,45300,65100
708,Video Production,Bachelors,42800,65100
709,Graphic Arts,Bachelors,42700,64900
710,Physical Education Teaching,Bachelors,42200,64900
711,Health Services Management,Bachelors,41600,64800
712,Physical Education & Exercise Science,Bachelors,44100,64800
713,Drawing,Bachelors,37400,64800
714,Exercise Science,Bachelors,41400,64700
715,Printmaking,Bachelors,38400,64300
716,Sports Administration,Bachelors,43300,64300
717,Theology,Bachelors,42800,64300
718,Interior Design & Merchandising,Bachelors,43700,64200
719,Recreation & Leisure Studies,Bachelors,40300,64200
720,Human Development,Bachelors,43700,64100
721,Music Industry,Bachelors,45800,64100
722,Wildlife Management,Bachelors,39700,64100
723,Supervision & Management,Bachelors,41700,64100
724,Health & Wellness,Bachelors,40100,64000
725,Culinary Arts & Food Service Management,Bachelors,41300,64000
726,Mortuary Science,Bachelors,43500,64000
727,Clinical Psychology,Bachelors,43000,63900
728,Community Health Education,Bachelors,42600,63900
729,Dance,Bachelors,45100,63900
730,Speech Pathology,Bachelors,42800,63700
731,Gender Studies,Bachelors,45500,63600
732,Secondary English Teacher Education,Bachelors,42000,63600
733,Photography,Bachelors,43800,63500
734,English Teacher Education,Bachelors,43300,63100
735,Paralegal Studies,Bachelors,39600,63100
736,Social Studies Teacher Education,Bachelors,43400,63100
737,Teaching English as a Second Language (ESL),Bachelors,42800,63000
738,Music Teacher Education,Bachelors,42000,63000
739,Health Promotion,Bachelors,42300,62800
740,Recording Arts,Bachelors,44800,62800
741,Photojournalism,Bachelors,41900,62600
742,Recreation Administration,Bachelors,47000,62500
743,Radio Broadcasting,Bachelors,46300,62400
744,Sculpture,Bachelors,40300,62200
745,Painting,Bachelors,40700,62000
746,Psychology & Social Sciences,Bachelors,42600,62000
747,Health & Physical Education Teaching,Bachelors,38700,61900
748,Organizational Administration,Bachelors,45000,61800
749,Tourism Management,Bachelors,43100,61600
750,Instrumental Music Teacher Education,Bachelors,41700,61600
751,Emergency Medical Services (EMS),Bachelors,44200,61400
752,Community Health,Bachelors,45400,61300
753,Health & Human Performance,Bachelors,38100,61100
754,Music Therapy,Bachelors,43100,60700
755,Social Services,Bachelors,39900,60500
756,Rehabilitation Services,Bachelors,35800,60200
757,Horticulture,Bachelors,43000,60100
758,University Studies,Bachelors,42400,60000
759,Church Ministries,Bachelors,40000,59900
760,Communicative Disorders,Bachelors,47400,59800
761,Social Science Teacher Education,Bachelors,45400,59800
762,Wildlife Biology,Bachelors,42900,59800
763,Community Development,Bachelors,44600,59400
764,Psychology & Human Services,Bachelors,35600,59400
765,Athletic Training,Bachelors,42100,59300
766,Biblical Studies,Bachelors,40500,59000
767,Biblical Studies & Practical Ministries,Bachelors,36400,58900
768,Counseling Psychology,Bachelors,42700,58900
769,Recreational Studies,Bachelors,42100,58900
770,Teaching,Bachelors,42000,58900
771,Home Economics,Bachelors,41800,58700
772,Library & Information Science,Bachelors,48200,58700
773,Human Development & Family Studies,Bachelors,40300,58600
774,Tourism & Travel,Bachelors,42200,58600
775,Landscape Design,Bachelors,49000,58500
776,Ceramics,Bachelors,42200,58300
777,Clinical Social Work (CSW),Bachelors,43500,58300
778,Parks & Recreation Management,Bachelors,42700,58300
779,Pastoral Ministry,Bachelors,38700,58000
780,Vocal Performance,Bachelors,42600,58000
781,Art Teacher Education,Bachelors,40300,57500
782,Bible Studies & Theology,Bachelors,40000,57500
783,Forensic Accounting,Bachelors,48300,57200
784,Communication Sciences & Disorders,Bachelors,43300,57100
785,Legal Assistant Studies,Bachelors,38100,57100
786,Special Education,Bachelors,41300,57000
787,Conservation Biology,Bachelors,42800,56900
788,Family Studies,Bachelors,39200,56800
789,Christian Ministry,Bachelors,38100,56400
790,Speech & Hearing,Bachelors,43300,56400
791,Health and Human Services,Bachelors,43500,56300
792,Musical Theatre,Bachelors,43500,56100
793,History Teacher Education,Bachelors,47700,55600
794,Developmental Psychology,Bachelors,38200,55000
795,Therapeutic Recreation,Bachelors,39500,54900
796,Applied Behavioral Science,Bachelors,40500,54600
797,Community & Human Services,Bachelors,42400,54600
798,Social Work (SW),Bachelors,38600,54600
799,Office Administration,Bachelors,38700,54500
800,Ministry,Bachelors,36700,54300
801,Family & Community Services,Bachelors,42200,54300
802,Youth Ministry,Bachelors,37400,54200
803,Elementary Education,Bachelors,40000,53800
804,Voice & Opera,Bachelors,34500,53300
805,Christian Education,Bachelors,38700,53200
806,Conflict Resolution,Bachelors,44400,53200
807,Baking & Pastry Arts,Bachelors,37500,53000
808,Human Services Management,Bachelors,45600,53000
809,Hospitality & The Culinary Arts,Bachelors,38800,52900
810,Human Services (HS),Bachelors,38700,52500
811,Counseling,Bachelors,39900,51700
812,Recreational Therapy,Bachelors,38400,51600
813,Child Development,Bachelors,37400,51400
814,Educational Psychology,Bachelors,36900,51200
815,Middle School Education,Bachelors,41200,50800
816,Mental Health Counseling,Bachelors,36100,50000
817,Early Childhood & Elementary Education,Bachelors,38000,48400
818,Equine Studies,Bachelors,35700,47100
819,Addiction Studies,Bachelors,38000,47000
820,Child & Family Studies,Bachelors,36400,46500
821,Rehabilitation Counseling,Bachelors,39200,46400
822,Outdoor Education,Bachelors,37400,46300
823,Early Childhood Education,Bachelors,36100,45400
824,Mental Health,Bachelors,36900,45000
825,Medical Assisting,Bachelors,36000,44800
826,Metalsmithing,Bachelors,40000,40300
